Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour
2,2017,2017,5.999988425925926,10.20832175925926,23.999722222222225,4.999722222222222
3,2017,2017,12.999988425925928,18.208333333333332,23.999722222222225,5.0
4,2017,2017,31.874988425925924,34.04165509259259,20.999722222222225,0.9997222222222222
7,2017,2017,39.625,44.0,15.0,0.0
8,2017,2017,92.04165509259259,97.16666666666667,0.9997222222222222,4.0
9,2017,2017,112.66665509259259,116.24998842592592,15.999722222222221,5.999722222222222
11,2017,2017,182.6666550925926,184.7916550925926,15.999722222222221,18.999722222222225
12,2017,2017,195.6666550925926,202.20833333333334,15.999722222222221,5.0
13,2017,2017,208.6666550925926,218.625,15.999722222222221,15.0
15,2017,2017,231.08333333333334,235.375,2.0,9.0
16,2017,2017,238.74998842592595,243.33332175925926,17.999722222222225,7.999722222222222
18,2017,2017,250.45833333333334,253.70833333333334,11.0,17.0
19,2017,2017,254.33333333333334,261.1249884259259,8.0,2.999722222222222
21,2017,2017,265.4166550925926,273.9166550925926,9.999722222222221,21.999722222222225
25,2017,2017,286.0833333333333,289.0416550925926,2.0,0.9997222222222222
27,2017,2017,315.9166666666667,318.4999884259259,22.0,11.999722222222221
28,2018,2018,43.5,45.99998842592593,12.0,23.999722222222225
31,2018,2018,241.20832175925926,243.29166666666666,4.999722222222222,7.0
32,2018,2018,243.4166550925926,245.49998842592595,9.999722222222221,11.999722222222221
33,2019,2019,79.58332175925926,81.91666666666667,13.999722222222221,22.0
36,2019,2019,126.20833333333333,128.45832175925926,5.0,10.999722222222221
37,2020,2020,336.2481712962963,342.06556712962964,5.956111111111111,1.573611111111111
38,2020,2020,342.64730324074077,347.01035879629626,15.535277777777777,0.24861111111111112
40,2021,2021,147.29166666666666,153.5416550925926,7.0,12.999722222222221
42,2021,2021,176.7916550925926,178.79166666666666,18.999722222222225,19.0
43,2021,2021,184.37498842592595,188.95833333333334,8.999722222222221,23.0
44,2021,2021,190.875,194.66666666666666,21.0,16.0
48,2021,2021,204.45832175925926,207.95832175925926,10.999722222222221,22.999722222222225
54,2021,2021,302.70832175925926,305.5416550925926,16.999722222222225,12.999722222222221
55,2021,2021,307.1666666666667,311.5416666666667,4.0,13.0
56,2021,2021,313.8333333333333,316.9583333333333,20.0,23.0
59,2022,2022,14.791666666666666,17.45832175925926,19.0,10.999722222222221
60,2022,2022,18.874988425925924,24.83332175925926,20.999722222222225,19.999722222222225
61,2022,2022,30.666666666666668,34.375,16.0,9.0
