Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour
2,2017,2017,5.999988425925926,10.20832175925926,23.999722222222225,4.999722222222222
4,2017,2017,12.958333333333334,18.375,23.0,9.0
5,2017,2017,31.874988425925924,34.083333333333336,20.999722222222225,2.0
8,2017,2017,39.625,43.958321759259256,15.0,22.999722222222225
11,2017,2017,92.04165509259259,97.33332175925926,0.9997222222222222,7.999722222222222
12,2017,2017,112.66665509259259,116.41666666666667,15.999722222222221,10.0
14,2017,2017,182.625,184.7916550925926,15.0,18.999722222222225
16,2017,2017,195.6666550925926,202.375,15.999722222222221,9.0
17,2017,2017,208.6666550925926,218.79166666666666,15.999722222222221,19.0
19,2017,2017,231.08333333333334,235.4166550925926,2.0,9.999722222222221
20,2017,2017,238.74998842592595,243.49998842592595,17.999722222222225,11.999722222222221
22,2017,2017,250.49998842592595,253.70833333333334,11.999722222222221,17.0
23,2017,2017,254.33333333333334,261.1666666666667,8.0,4.0
25,2017,2017,265.4166550925926,273.95832175925926,9.999722222222221,22.999722222222225
29,2017,2017,286.0416550925926,289.4166666666667,0.9997222222222222,10.0
32,2017,2017,315.9166666666667,318.6666550925926,22.0,15.999722222222221
33,2018,2018,43.5,46.16665509259259,12.0,3.999722222222222
41,2019,2019,124.29166666666667,128.62498842592595,7.0,14.999722222222221
44,2020,2020,336.2481712962963,342.06556712962964,5.956111111111111,1.573611111111111
45,2020,2020,342.64730324074077,347.1765625,15.535277777777777,4.2375
47,2021,2021,147.24998842592595,153.99998842592595,5.999722222222222,23.999722222222225
50,2021,2021,184.24998842592595,189.125,5.999722222222222,3.0
51,2021,2021,190.875,194.83333333333334,21.0,20.0
55,2021,2021,204.5,208.12498842592595,12.0,2.999722222222222
62,2021,2021,302.6666666666667,305.5416550925926,16.0,12.999722222222221
63,2021,2021,307.1666666666667,311.7083333333333,4.0,17.0
64,2021,2021,313.8333333333333,317.1249884259259,20.0,2.999722222222222
67,2022,2022,14.708333333333334,17.625,17.0,15.0
68,2022,2022,17.83332175925926,24.999988425925924,19.999722222222225,23.999722222222225
69,2022,2022,30.666666666666668,34.541666666666664,16.0,13.0
72,2022,2022,52.12498842592593,59.541666666666664,2.999722222222222,13.0
73,2022,2022,70.20832175925926,73.75,4.999722222222222,18.0
74,2022,2022,73.79165509259259,77.12498842592592,18.999722222222225,2.999722222222222
75,2022,2022,80.33333333333333,83.58333333333333,8.0,14.0
77,2022,2022,90.12498842592592,92.625,2.999722222222222,15.0
78,2022,2022,92.83332175925926,97.70833333333333,19.999722222222225,17.0
79,2022,2022,110.66665509259259,114.75,15.999722222222221,18.0
81,2022,2022,119.58332175925926,124.24998842592592,13.999722222222221,5.999722222222222
82,2022,2022,131.87498842592595,134.83333333333334,20.999722222222225,20.0
83,2022,2022,141.25,143.58333333333334,6.0,14.0
85,2022,2022,165.79166666666666,169.58333333333334,19.0,14.0
87,2022,2022,171.70832175925926,174.58333333333334,16.999722222222225,14.0
89,2022,2022,190.625,197.87498842592595,15.0,20.999722222222225
91,2022,2022,212.7916550925926,215.83332175925926,18.999722222222225,19.999722222222225
93,2022,2022,227.04166666666666,229.45832175925926,1.0,10.999722222222221
94,2022,2022,231.16666666666666,234.75,4.0,18.0
96,2022,2022,239.41666666666666,245.83333333333334,10.0,20.0
97,2022,2022,255.1666550925926,258.2916666666667,3.999722222222222,7.0
98,2022,2022,259.0833333333333,266.7916666666667,2.0,19.0
99,2022,2022,270.2499884259259,274.5416550925926,5.999722222222222,12.999722222222221
100,2022,2022,274.83332175925926,279.6249884259259,19.999722222222225,14.999722222222221
101,2022,2022,284.45832175925926,288.58332175925926,10.999722222222221,13.999722222222221
102,2022,2022,297.08332175925926,301.875,1.9997222222222222,21.0
103,2022,2022,316.7916666666667,321.2083333333333,19.0,5.0
105,2022,2022,325.8333333333333,329.5416666666667,20.0,13.0
107,2022,2022,347.0416550925926,349.4999884259259,0.9997222222222222,11.999722222222221
109,2022,2022,354.1249884259259,356.4583333333333,2.999722222222222,11.0
110,2022,2022,357.45832175925926,362.5833333333333,10.999722222222221,14.0
112,2023,2023,9.916655092592594,12.875,21.999722222222225,21.0
113,2023,2023,12.916655092592594,18.041666666666668,21.999722222222225,1.0
115,2023,2023,33.24998842592593,36.16665509259259,5.999722222222222,3.999722222222222
116,2023,2023,39.333321759259256,42.083333333333336,7.999722222222222,2.0
117,2023,2023,44.208333333333336,50.708321759259256,5.0,16.999722222222225
118,2023,2023,51.41665509259259,55.5,9.999722222222221,12.0
119,2023,2023,57.166666666666664,62.875,4.0,21.0
123,2023,2023,73.45832175925926,76.66666666666667,10.999722222222221,16.0
124,2023,2023,79.54166666666667,85.04165509259259,13.0,0.9997222222222222
125,2023,2023,85.12498842592592,91.04166666666667,2.999722222222222,1.0
127,2023,2023,113.12498842592592,116.91666666666667,2.999722222222222,22.0
128,2023,2023,120.16666666666667,123.20832175925926,4.0,4.999722222222222
131,2023,2023,128.66666666666666,136.87498842592595,16.0,20.999722222222225
133,2023,2023,152.33332175925926,155.99998842592595,7.999722222222222,23.999722222222225
137,2023,2023,175.58332175925926,177.70832175925926,13.999722222222221,16.999722222222225
139,2023,2023,191.75,194.66666666666666,18.0,16.0
142,2023,2023,199.1666550925926,205.0,3.999722222222222,0.0
145,2023,2023,210.24998842592595,215.74998842592595,5.999722222222222,17.999722222222225
147,2023,2023,217.91666666666666,220.04166666666666,22.0,1.0
148,2023,2023,220.4166550925926,235.29166666666666,9.999722222222221,7.0
