Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour
5,2017,2017,31.874988,34.083333,20.999722,2.0
154,2023,2023,256.333333,259.208322,8.0,4.999722
105,2022,2022,325.833333,329.541667,20.0,13.0
4,2019,2019,74.27347181914512,76.43114505161421,22.475946601397382,7.286600335771169
5,2018,2018,258.8883735435421,261.56930557618927,14.428783114091075,11.707480769657439
6,2019,2019,334.2629468570822,337.85183052870497,14.79446830535418,2.5345520856753314
7,2020,2020,232.9204261530901,237.70494956537107,14.089285419058463,7.632213454269584
8,2018,2018,151.69052846495882,156.12754277806985,13.770577106555251,16.143618294442007
9,2024,2024,80.17106191281894,84.99927056362868,10.923838410489651,22.890527841849934
10,2017,2017,276.39021618337074,280.09535803654165,7.8352512351968215,21.27075490640034
11,2020,2020,190.7331111916434,195.38297906540504,22.373923716583977,1.0039883710527189
12,2024,2024,40.85826565465989,43.27931760914694,16.213276107669003,0.4017615848826326
13,2021,2021,290.25547125261176,291.8331715687181,8.139804715345363,17.617837060690906
