Duration,Max Flux,Initial Decay Rate,Average Decay Rate,Time to Peak,Peak Prominence,Skewness,Kurtosis,Std Flux,Median Flux,Max/Median Ratio,Normalized Time to Peak,Decay Rate 25%,Decay Rate 50%,Decay Rate 75%,Avg Decay Percentages,Target Label
143,4.6951,-0.0616601125,2.913006993006993e-05,8,4.69433169,2.6532597444680595,8.997421490084143,0.7486763613148052,0.047451,98.94628142715644,0.055944055944055944,-0.018990285314685315,-0.0005223314685314686,3.348531468531469e-05,-0.006493043822843822,1
96,0.0,0.0,0.0,0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0
216,0.76454,-0.015236249999999998,0.001017315925925926,23,0.76427024,1.2830138663105988,0.2593257682773036,0.20668803074798786,0.011012000000000001,69.42789683981111,0.10648148148148148,-0.0032875925925925924,0.0019380462962962964,0.0013441111111111112,-1.81172839506157e-06,1
217,0.00075891,-3.120370833333333e-05,4.6179723502304145e-08,24,0.00075891,2.4672107708160746,5.791771532269559,0.000146574895766109,9.445e-06,80.35044997353097,0.11059907834101383,-1.7859723502304148e-06,4.6058986175115206e-08,6.157296466973886e-08,-5.594467997951869e-07,1
120,0.0,0.0,0.0,0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0
72,3.2907e-06,0.0,0.0,45,3.2907e-06,5.747049888628258,31.028586302548902,5.40606468837828e-07,0.0,,0.625,0.0,0.0,0.0,0.0,0
72,1.8084e-05,4.981666666666666e-07,1.6605555555555556e-07,4,1.8084e-05,1.1564146027428281,0.4989798236512697,4.822496571444838e-06,0.0,,0.05555555555555555,3.229111111111111e-07,3.321111111111111e-07,2.214074074074074e-07,2.921432098765432e-07,0
72,3.5514e-06,0.0,0.0,57,3.5514e-06,8.307471607356973,67.01408450704226,4.1561983756192383e-07,0.0,,0.7916666666666666,0.0,0.0,0.0,0.0,0
72,4.59e-06,0.0,0.0,38,4.59e-06,8.307471607356977,67.01408450704226,5.371670480399929e-07,0.0,,0.5277777777777778,0.0,0.0,0.0,0.0,0
48,0.001225,3.864008333333333e-05,2.0511083333333334e-05,1,0.0012204707,0.7545231132192838,-0.7858715102141409,0.0003614122040294346,0.000167948,7.293924309905446,0.020833333333333332,4.8535833333333324e-05,3.864008333333333e-05,2.6711916666666664e-05,3.796261111111111e-05,1
72,0.00010077,2.1630833333333334e-06,7.210277777777778e-07,67,0.00010077,0.8336499940983444,0.2038520008016147,2.4510478479699646e-05,2.4693000000000002e-05,4.08091361924432,0.9305555555555556,2.884111111111111e-06,6.724166666666666e-07,5.039629629629629e-07,1.353496913580247e-06,0
144,3.2418e-05,-9.297083333333334e-07,0.0,22,3.2418e-05,4.52083491284666,22.804236932909586,4.434501772494194e-06,0.0,,0.1527777777777778,0.0,0.0,0.0,0.0,1
72,6.7e-06,0.0,0.0,21,6.7e-06,3.8853241033477097,13.110101113392759,1.4692536593302217e-06,0.0,,0.2916666666666667,0.0,0.0,0.0,0.0,0
96,4.4336e-06,-1.7443333333333335e-07,0.0,3,4.4336e-06,3.0248908072635077,7.172832119965461,1.172276101517942e-06,0.0,,0.03125,-1.7443333333333335e-07,0.0,0.0,-5.814444444444445e-08,0
72,0.0,0.0,0.0,0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0
96,2.7179e-06,0.0,0.0,91,2.7179e-06,9.644196509600446,91.01052631578945,2.75945961976628e-07,0.0,,0.9479166666666666,0.0,0.0,0.0,0.0,0
97,7.0121e-06,0.0,0.0,49,7.0121e-06,9.695896898516741,92.01041666666656,7.082914237265949e-07,0.0,,0.5051546391752577,0.0,0.0,0.0,0.0,0
72,0.00013204,-4.6583333333333325e-07,9.858611111111113e-07,22,0.00012613729999999998,0.49585585790310727,-0.46479793416915793,3.0483327060049595e-05,4.7628e-05,2.772318804064836,0.3055555555555556,-2.6727777777777734e-07,1.4309444444444445e-06,1.2202222222222222e-06,7.946296296296299e-07,1
96,3.7357e-06,0.0,0.0,20,3.7357e-06,5.396961576425852,27.16175420718253,6.229408170590202e-07,0.0,,0.20833333333333334,0.0,0.0,0.0,0.0,0
120,7.7071e-06,0.0,0.0,10,7.7071e-06,3.510221111978481,12.331741304463412,1.3935566583585882e-06,0.0,,0.08333333333333333,-1.3764333333333333e-07,0.0,0.0,-4.5881111111111107e-08,1
49,8.1786e-06,0.0,0.0,7,8.1786e-06,6.783865662978108,44.02083333333341,1.1563878150843116e-06,0.0,,0.14285714285714285,0.0,0.0,0.0,0.0,0
120,2.0519e-05,-8.549583333333334e-07,0.0,24,2.0519e-05,2.54637892647736,5.92604759769403,4.223696267796726e-06,0.0,,0.2,0.0,0.0,0.0,0.0,1
143,5.4103,-0.10846016666666665,2.1596503496503494e-05,8,5.4083373,1.8496498431329358,3.602952154379876,1.0659530274820634,0.11269,48.010471204188484,0.055944055944055944,-0.038163468531468535,-0.001657258741258741,2.0700233100233097e-05,-0.013266675679875682,1
72,0.0039258,-6.955e-05,9.92763888888889e-06,15,0.0037831500000000003,0.38857122470651667,-1.0188134881721,0.0011114395250907494,0.0015016,2.6144112946190727,0.20833333333333334,-0.00013383888888888887,2.8916666666666723e-06,8.165000000000002e-06,-4.09274074074074e-05,0
72,1.8917e-05,-5.200000000000002e-08,1.0972777777777777e-07,3,1.8917e-05,1.5546388282533403,2.3448520152590175,4.076575219742943e-06,2.70675e-06,6.988824235707028,0.041666666666666664,7.466111111111111e-07,2.9798888888888884e-07,1.5398148148148146e-07,3.9952716049382714e-07,1
72,0.0,0.0,0.0,0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0
217,0.0014502,-5.0102666666666664e-05,2.3564976958525345e-07,23,0.0014502,2.5647256501025675,6.287044173404496,0.0002923265129648563,1.985e-05,73.05793450881612,0.10599078341013825,-4.6470783410138245e-06,4.712995391705069e-07,3.1419969278033793e-07,-1.2871930363543265e-06,1
217,0.00065287,-2.6232374999999998e-05,1.0734101382488478e-07,24,0.00065287,2.7082208916901886,7.883100408096235,0.00011005441350185956,7.25e-06,90.05103448275861,0.11059907834101383,-1.8097142857142858e-06,2.1468202764976957e-07,1.4312135176651305e-07,-4.839703020993344e-07,1
120,0.00014219,-1.8255833333333332e-06,0.0,22,0.00014219,2.384833510583529,5.39772737026162,2.8803022033032098e-05,0.0,,0.18333333333333332,-8.562000000000001e-07,-1.2381e-07,0.0,-3.2667e-07,1
48,6.5987e-05,1.9247083333333333e-06,9.623541666666667e-07,42,6.5987e-05,0.5094594863558477,-0.7032567255298918,1.8524318007717362e-05,2.29785e-05,2.8716844006353766,0.875,3.849416666666667e-06,1.9247083333333333e-06,1.283138888888889e-06,2.3524212962962962e-06,0
144,0.00043059,-1.7395833333333333e-06,0.0,13,0.00043059,4.147723914988201,17.581849449191427,7.151298117892354e-05,0.0,,0.09027777777777778,-2.605166666666667e-07,0.0,0.0,-8.68388888888889e-08,1
