Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
89,2015,2015,262.3749884259259,267.75,8.999722222222221,18.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
90,2015,2015,273.95832175925926,278.4999884259259,22.999722222222225,11.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
93,2015,2015,295.70832175925926,299.25,16.999722222222225,6.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
94,2015,2015,300.8333333333333,305.2083333333333,20.0,5.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
95,2015,2015,307.25,312.6666666666667,6.0,16.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
96,2015,2015,313.95832175925926,316.83332175925926,22.999722222222225,19.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
97,2015,2015,320.33332175925926,322.5416550925926,7.999722222222222,12.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
101,2015,2016,362.875,1.6232870370370371,21.0,14.958888888888888,1,"['Fe', 'Si', 'O', 'C', 'N']"
102,2016,2016,2.1219212962962968,5.861678240740741,2.926111111111111,20.68027777777778,2,"['C', 'Fe', 'N', 'Si']"
104,2016,2016,28.42486111111111,31.873738425925925,10.196666666666667,20.96972222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
106,2016,2016,50.03232638888888,52.442384259259256,0.7758333333333334,10.617222222222223,1,"['Fe', 'Si', 'O', 'C', 'N']"
107,2016,2016,55.93282407407408,58.509097222222216,22.387777777777778,12.218333333333334,1,"['Fe', 'Si', 'O', 'C', 'N']"
109,2016,2016,76.1275,78.86998842592592,3.0599999999999996,20.879722222222224,1,"['Fe', 'Si', 'O', 'C', 'N']"
115,2016,2016,109.03733796296297,113.94056712962963,0.8961111111111111,22.57361111111111,1,"['Fe', 'Si', 'O', 'C', 'N']"
116,2016,2016,136.50375,140.03574074074075,12.09,0.8577777777777778,1,"['Fe', 'Si', 'O', 'C', 'N']"
117,2016,2016,168.33321759259258,170.8679398148148,7.997222222222223,20.830555555555556,1,"['Fe', 'Si', 'O', 'C', 'N']"
118,2016,2016,171.408125,175.06476851851852,9.795,1.5544444444444445,1,"['Fe', 'Si', 'O', 'C', 'N']"
119,2016,2016,193.43112268518516,196.17359953703703,10.346944444444444,4.166388888888889,1,"['Fe', 'Si', 'O', 'C', 'N']"
120,2016,2016,202.48962962962963,209.84447916666667,11.751111111111111,20.2675,1,"['Fe', 'Si', 'O', 'C', 'N']"
121,2016,2016,221.10530092592595,224.80349537037037,2.527222222222222,19.28388888888889,1,"['Fe', 'Si', 'O', 'C', 'N']"
124,2016,2016,248.6132638888889,257.5055671296296,14.718333333333334,12.13361111111111,1,"['Fe', 'Si', 'O', 'C', 'N']"
126,2016,2016,275.1655208333333,279.57012731481484,3.9725,13.683055555555555,1,"['Fe', 'Si', 'O', 'C', 'N']"
127,2016,2016,298.76752314814814,302.1748611111111,18.420555555555556,4.196666666666667,1,"['Fe', 'Si', 'O', 'C', 'N']"
128,2016,2016,302.59038194444446,306.91187499999995,14.169166666666666,21.884999999999998,1,"['Fe', 'Si', 'O', 'C', 'N']"
130,2016,2016,327.6051851851852,331.13717592592593,14.524444444444445,3.292222222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
132,2016,2016,348.5478125,351.74737268518516,13.147499999999999,17.936944444444446,1,"['Fe', 'Si', 'O', 'C', 'N']"
134,2017,2017,5.999988425925926,10.20832175925926,23.999722222222225,4.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
135,2017,2017,12.999988425925928,18.208333333333332,23.999722222222225,5.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
136,2017,2017,31.874988425925924,34.04165509259259,20.999722222222225,0.9997222222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
139,2017,2017,39.625,44.0,15.0,0.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
140,2017,2017,92.04165509259259,97.16666666666667,0.9997222222222222,4.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
141,2017,2017,112.66665509259259,116.24998842592592,15.999722222222221,5.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
143,2017,2017,182.6666550925926,184.7916550925926,15.999722222222221,18.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
144,2017,2017,195.6666550925926,202.20833333333334,15.999722222222221,5.0,5,['Fe']
145,2017,2017,208.6666550925926,218.625,15.999722222222221,15.0,2,"['C', 'Fe', 'N', 'Si']"
147,2017,2017,231.08333333333334,235.375,2.0,9.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
148,2017,2017,238.74998842592595,243.33332175925926,17.999722222222225,7.999722222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
150,2017,2017,250.45833333333334,253.70833333333334,11.0,17.0,6,[]
151,2017,2017,254.33333333333334,261.1249884259259,8.0,2.999722222222222,6,[]
153,2017,2017,265.4166550925926,273.9166550925926,9.999722222222221,21.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
157,2017,2017,286.0833333333333,289.0416550925926,2.0,0.9997222222222222,1,"['Fe', 'Si', 'O', 'C', 'N']"
159,2017,2017,315.9166666666667,318.4999884259259,22.0,11.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
160,2018,2018,43.5,45.99998842592593,12.0,23.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
169,2020,2020,336.2481712962963,342.06556712962964,5.956111111111111,1.573611111111111,3,"['Fe', 'N', 'Si']"
170,2020,2020,342.64730324074077,347.01035879629626,15.535277777777777,0.24861111111111112,2,"['O', 'Fe', 'N', 'Si']"
172,2021,2021,147.29166666666666,153.5416550925926,7.0,12.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
175,2021,2021,184.37498842592595,188.95833333333334,8.999722222222221,23.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
176,2021,2021,190.875,194.66666666666666,21.0,16.0,2,"['C', 'Fe', 'N', 'Si']"
180,2021,2021,204.45832175925926,207.95832175925926,10.999722222222221,22.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
186,2021,2021,302.70832175925926,305.5416550925926,16.999722222222225,12.999722222222221,3,"['Fe', 'N', 'Si']"
187,2021,2021,307.1666666666667,311.5416666666667,4.0,13.0,2,"['O', 'Fe', 'N', 'Si']"
188,2021,2021,313.8333333333333,316.9583333333333,20.0,23.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
191,2022,2022,14.791666666666666,17.45832175925926,19.0,10.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
192,2022,2022,18.874988425925924,24.83332175925926,20.999722222222225,19.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
193,2022,2022,30.666666666666668,34.375,16.0,9.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
195,2022,2022,52.12498842592593,59.375,2.999722222222222,9.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
196,2022,2022,71.125,76.95832175925926,3.0,22.999722222222225,1,"['Fe', 'Si', 'O', 'C', 'N']"
197,2022,2022,80.5,83.41666666666667,12.0,10.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
198,2022,2022,88.08332175925926,92.625,1.9997222222222222,15.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
199,2022,2022,92.79166666666667,97.54166666666667,19.0,13.0,3,"['Fe', 'N', 'Si']"
200,2022,2022,110.66665509259259,114.58332175925926,15.999722222222221,13.999722222222221,1,"['Fe', 'Si', 'O', 'C', 'N']"
202,2022,2022,119.58332175925926,124.20833333333333,13.999722222222221,5.0,2,"['C', 'Fe', 'N', 'Si']"
203,2022,2022,132.0,134.66666666666666,0.0,16.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
204,2022,2022,141.25,143.41666666666666,6.0,10.0,1,"['Fe', 'Si', 'O', 'C', 'N']"
