Event ID,Element,Energy Level,Flux Time Series,Target Label
298,Fe,2,"[ 0.99027991  0.97786763  0.97586345  0.92547616  0.93564656  1.
  0.95908554  0.89737245  0.94395955  0.98077653  0.90035937  0.90555849
  0.86698699  0.90707139  0.72103574  0.84113264  0.78867595  0.7959455
  0.79591211  0.77253998  0.74942229  0.85811941  0.81478295  0.8059973
  0.578024    0.71482993  0.64197776  0.49203658 -1.          0.57945059
  0.58885508  0.64098178  0.48362189  0.58326043 -1.          0.58629343
  0.48619274  0.63388675  0.47662776 -1.         -1.         -1.
 -1.          0.57477889 -1.         -1.         -1.          0.56948963]",1
150,O,4,"[ 0.61321553  0.68466752  0.65698752  0.61453807  0.62388447  0.55849401
  0.58524287  0.57017135  0.55229601  0.58148796  0.50595025  0.53838808
  0.58810296  0.53646186  0.55769518  0.55756551  0.52285429  0.57732436
  0.63849869  0.69205511  0.70896794  0.8570073   0.95693862  1.
  0.82035956  0.78084557  0.78898245  0.78112096  0.74614352  0.69601676
  0.70081711  0.66375326  0.62555475  0.58667152  0.46925467  0.31710633
  0.37221285  0.37307237  0.34607913  0.39641624  0.40177203  0.43203913
  0.43356077  0.44740422  0.40048564  0.39624028  0.40633988  0.34788438
  0.31217634  0.31425147  0.39223616 -1.          0.39220766  0.26648824
  0.26567513 -1.          0.31038796  0.38800356  0.34185874  0.18831314
 -1.          0.26364478  0.30074436  0.18740678  0.26650025  0.31032136
 -1.          0.18694226  0.17988061  0.30739475 -1.          0.18637194]",1
55,N,1,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
208,C,2,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
12,N,4,"[ 0.85750657  0.94669269  0.78394277  0.93956186  0.93665966  0.98792411
  0.81826813  0.81955746  0.93396466  0.95994453  1.          0.93486821
  0.90778978  0.95612112  0.82362972  0.86939552  0.8658107   0.97596449
  0.81048381  0.99268342  0.9501039   0.97197552  0.81537539  0.86112414
  0.94899859  0.86177119  0.94376544  0.85752609  0.81337757  0.85252786
  0.94028472  0.85167894  0.91335604  0.62880297  0.87314661  0.73237662
  0.87985568  0.62391667 -1.          0.79600359  0.83673308  0.72635659
  0.82915234  0.830587    0.72466043  0.8318013  -1.          0.60915331
  0.61671058  0.82162541  0.76838239  0.71691755  0.72174165  0.77961384
  0.77875997  0.82082379  0.77777249 -1.         -1.          0.60738138
  0.60586607  0.60554934  0.7075072   0.70704955  0.60348468  0.59348473
  0.80249692 -1.          0.59175625  0.5908221   0.58902495 -1.
  0.6992804  -1.          0.58644654  0.58604257  0.58604257 -1.
  0.58491488  0.58483564 -1.         -1.         -1.         -1.
 -1.          0.58373903  0.59294832 -1.         -1.         -1.
 -1.          0.58185162 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.57936139 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.57708071 -1.         -1.         -1.          0.58551921
 -1.         -1.          0.57610147 -1.         -1.         -1.
 -1.         -1.         -1.          0.57601759 -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.          0.57476599 -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.56359488 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.        ]",1
268,C,1,"[-1.         -1.          0.93661863 -1.          0.93649632  0.93180458
  0.82089654  0.8210262  -1.         -1.          0.83050998  0.94135127
  0.83038949  0.8210262   0.8192414   0.82089654  0.82076858 -1.
 -1.          0.83063207  0.99673602  1.         -1.          0.99987659
 -1.         -1.          0.93667976  0.82115395  0.82115395 -1.
  0.920911    0.83050998  0.94135127  0.94135127  0.83050998  0.82089654
 -1.          0.93649632  0.82076858  0.83038949  0.93655749  0.83038949
 -1.          0.83038949  0.82076858  0.9411052   0.80999979 -1.
  0.82076858 -1.          0.83038949 -1.          0.82076858 -1.
 -1.          0.83026722  0.82089654  0.83026722 -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.        ]",0
68,Si,4,"[-1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.9881382  -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.99992317 -1.         -1.         -1.         -1.
 -1.         -1.          1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.        ]",0
144,O,4,"[-1.         -1.          0.59773297  0.5980377   0.70682842  0.59341673
  0.8661005   0.81835492  0.92381793  0.88017019  0.98933021  0.95946745
  0.94533729  0.71040612  0.82210462  0.85684455  0.78363484  0.82352874
  0.77488916  0.82858744  0.999696    1.          0.9260636   0.96793399
  0.97943318  0.91483285  0.93106658  0.99183148  0.88559469  0.78004737
  0.88741198  0.85748922  0.88647317  0.78159923  0.71978838  0.77619501
 -1.          0.60226039  0.7105367   0.7179772   0.77564101  0.60695048
  0.77937537  0.77691077  0.82009518  0.77023717  0.59898614  0.59728906
 -1.         -1.          0.59983007  0.71329191 -1.          0.60643336
  0.7035878   0.60419658  0.60179688  0.59044715 -1.         -1.
 -1.         -1.          0.59742285 -1.         -1.         -1.
 -1.         -1.          0.69461045 -1.         -1.         -1.
 -1.         -1.          0.59708339 -1.          0.59698284 -1.
  0.59698284  0.59735597 -1.         -1.         -1.         -1.
 -1.         -1.         -1.          0.58818176 -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
  0.59776633 -1.         -1.          0.59752788 -1.         -1.
  0.58704664 -1.         -1.         -1.          0.59766146 -1.
  0.5976996  -1.         -1.         -1.         -1.          0.6954791
 -1.         -1.         -1.         -1.         -1.          0.70456694
 -1.         -1.         -1.         -1.          0.58886993 -1.
 -1.         -1.          0.58886993 -1.          0.59797109  0.58912217
 -1.         -1.          0.58738857 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
  0.58890527 -1.         -1.         -1.         -1.         -1.
  0.58749049 -1.         -1.          0.58912217 -1.         -1.
 -1.         -1.          0.58904654  0.58901123  0.58904654 -1.
 -1.         -1.         -1.         -1.         -1.         -1.        ]",1
70,Fe,3,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
204,N,4,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
268,Si,4,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
218,C,1,"[-1.          0.7885705   0.62396618  0.78908914  0.92780991  0.73013266
  0.94801547  0.891486    0.94658955  0.94792343  0.97806786  0.94530881
  0.89164142  0.82799653  1.          0.86458107  0.78761197  0.88359317
  0.85071854  0.7301914   0.92913412  0.72581304  0.83188724  0.86117825
  0.86263982  0.63468969  0.88709258  0.90944937 -1.          0.62480061
  0.7246929   0.63363673 -1.          0.72476262  0.71914767  0.72476262
  0.7331557   0.8242199   0.62529965  0.6334015   0.72463187  0.72905431
  0.63351999  0.83055476 -1.          0.78291279  0.7331557   0.90919155
  0.73013266  0.88644696  0.77993578  0.90958652  0.73037586  0.94658955
  0.86081728  0.93115992  0.91193853  0.63387157  0.78320306  0.78607397
  0.8588515   0.7295945   0.86033343  0.82690132  0.6342223   0.73345125
  0.71478749  0.86180358  0.72940904  0.78566978 -1.          0.62517418]",0
295,O,1,"[-1.         -1.         -1.         -1.          0.33023564  0.48279373
  0.51901011  0.57261637  0.60210482  0.72399184  0.8141271   0.82550508
  0.7860843   0.93592355  1.          0.99655895  0.95298398  0.89501013
  0.86080471  0.79731933  0.77744927  0.72893152  0.73569624  0.68891515
  0.66525472  0.64466938  0.57418042  0.55494145  0.5674194   0.55808819
  0.55501995  0.59560417  0.58997374  0.52408782  0.52769335  0.49820109
  0.4812206   0.44315023  0.49656057  0.48830021  0.47356086  0.43527698
  0.39858969  0.41452621  0.45226405  0.28837593  0.46266486  0.42794057
  0.45253702  0.41291586  0.39662197  0.39875205  0.42914648  0.32430389
  0.35398468  0.35383736  0.3795155   0.31867832  0.28265749  0.32385114
  0.41297308  0.20205416  0.35191053  0.37799993  0.37809836  0.32162308
  0.41297308  0.27607864  0.42614857  0.37811748  0.27597934  0.27917437
  0.27912614]",1
68,He,3,"[ 0.81569271  0.87860719  0.87906246  0.79087052  0.80574591  0.85144285
  0.90071511  0.90989426  0.87902749  0.84770375  0.87967028  0.93323821
  0.86118441  0.88118217  0.80874731  0.8572452   0.87713523  0.81312083
  0.87414967  0.87304452  0.81713821  0.7505905   0.91877101  0.8726985
  0.76963322  0.94158216  0.85176501  0.8653841   0.81041038  0.87496713
  0.93699455  0.84508995  0.91014883  0.89168956  0.82879344  0.95065453
  0.93958567  0.95016965  0.79279213  1.          0.95052066  0.80158489
  0.77737558  0.78013058  0.57899499  0.58977027  0.61802236  0.58569887
  0.74269253  0.69020403  0.67637632  0.67785601  0.82825876  0.58233717
 -1.          0.76752893  0.74620271  0.8083999   0.59046043  0.60088544
  0.73122295  0.7445624   0.68327929  0.75717452  0.80413735  0.81966286
  0.90250994  0.79601485  0.79999692  0.82515532  0.80750969  0.59291544]",0
30,O,4,"[ 0.67694418  0.76658762  0.7316017   0.74681263  0.73092133  0.69099037
  0.63584733  0.76473927  0.7221773   0.675567    0.7596502   0.68140279
  0.78741799  0.82313112  1.          0.86870708  0.60658156  0.71010275
  0.5938796   0.59105195  0.42809841 -1.          0.50177904  0.41429845
  0.41429845  0.40463694  0.40390911 -1.          0.41210809 -1.
 -1.         -1.         -1.          0.41161127 -1.         -1.
  0.41141847 -1.         -1.         -1.         -1.          0.49946433
 -1.          0.40260758 -1.          0.5026959  -1.          0.40220157
 -1.         -1.         -1.         -1.          0.40232178 -1.
 -1.         -1.         -1.         -1.          0.41019116 -1.
 -1.         -1.         -1.         -1.          0.40183456  0.40183456
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.40976337 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.40945389  0.40125916 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.40113225 -1.          0.40097056 -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
  0.40105143 -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.40925807 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.40949193 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.        ]",1
143,O,2,"[ 0.88026989  0.87016199 -1.          1.         -1.         -1.
 -1.          0.88018015 -1.         -1.          0.86989339 -1.
 -1.         -1.          0.85818051 -1.         -1.          0.99991992
 -1.         -1.         -1.          0.88043002  0.87997164  0.86999204
 -1.         -1.          0.86994442 -1.          0.8799267  -1.
  0.9828604   0.98955472 -1.         -1.         -1.         -1.
 -1.         -1.          0.87003964 -1.         -1.         -1.
 -1.          0.98967376 -1.         -1.         -1.         -1.        ]",0
25,Fe,3,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
303,Fe,1,"[ 0.44542095  0.36066629  0.50261828  0.65019453  0.73076334  0.713696
  0.6942657   0.81229756  0.8677329   0.9153842   0.91774948  0.96273706
  0.88513213  0.83338238  0.87883582  0.90951741  0.88659787  0.95191324
  0.96543797  1.          0.95882219  0.97563508  0.92557325  0.93494788
  0.93340025  0.94921197  0.93251477  0.91764826  0.97751025  0.83777693
  0.92051272  0.90905329  0.93317513  0.75060942  0.65890881  0.72156443
  0.74429494  0.42923975  0.57472145  0.70142525  0.44164077  0.5235662
  0.5801547   0.51499058  0.5971776   0.62149488  0.61801723  0.50565472
  0.5570718   0.37303754  0.38014711  0.46609016  0.51938922  0.37734779
  0.45626923  0.50562072  0.37139883  0.45524637  0.36763659  0.45080019
 -1.         -1.          0.53653861 -1.         -1.          0.45179836
  0.44693791  0.35547704  0.35527614  0.43405178 -1.          0.44554818
  0.35393425  0.4448819   0.49466874 -1.         -1.          0.35930228
 -1.         -1.          0.35870036 -1.         -1.          0.44582134
 -1.          0.48061155  0.4453922  -1.          0.48912545 -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.34826617
 -1.          0.43579624 -1.         -1.         -1.         -1.
  0.35531802 -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.34773672 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.35473885 -1.          0.35485658 -1.         -1.
 -1.         -1.         -1.         -1.          0.34703526 -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.34680256 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
  0.35377328  0.34497086 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.          0.3461169  -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.          0.35353003 -1.
  0.34588251 -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.35330616 -1.         -1.         -1.
 -1.          0.35338838 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.35338838 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]",1
264,N,1,"[-1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.          0.69388618 -1.
  0.80392427  0.69781391 -1.          0.80527805  0.91240392  0.87108422
  0.70053842  0.6989333   0.70702413  0.70572506  0.85566108  0.87847294
  0.81721606  0.81147668  0.87625568  0.95206077  1.          0.70309427
  0.94461788  0.94406601  0.94597871  0.80244516  0.69731252  0.8060013
  0.69731252  0.69781391  0.86033698  0.80466265  0.69592587  0.69516536
  0.69439917  0.7039366   0.69350119  0.85750091  0.80101271  0.80107413
  0.86064946  0.79752319  0.69401549  0.96595738  0.69285671  0.70139523
  0.85007759  0.80051162  0.69207856  0.70041635  0.85887204  0.70017019
  0.69116649  0.79835634 -1.          0.69843741  0.80219285  0.80219285
 -1.         -1.          0.69818797  0.86356566  0.69009963  0.86248746]",1
3,C,2,"[ 0.85169865  0.89382228  0.91491427  0.94146635  0.95374147  0.96554234
  0.98188414  0.99104317  1.          0.99669145  0.99591201  0.9986789
  0.99213221  0.99220296  0.98505442  0.97893014  0.98445263  0.98851527
  0.98450535  0.99221384  0.9832089   0.98395338  0.97919545  0.97764973
  0.97125405  0.97227955  0.95023157  0.94752994  0.92475903  0.90525807
  0.90148502  0.89722536  0.88185869  0.87062821  0.85227348  0.83978764
  0.84202011  0.81986141  0.82034187  0.80741207  0.80993442  0.80452919
  0.79056613  0.76589967  0.75143251  0.75801128  0.71483971  0.72027788
  0.72972282  0.72629675  0.71107976  0.69372694  0.6915436   0.71625467
  0.70227544  0.67829098  0.6840527   0.69279407  0.7152801   0.69383113
  0.67958911  0.68685302  0.65785415  0.64421873  0.62126207  0.61880589
  0.6166658   0.59122077  0.60518952  0.57136675  0.56563487  0.55864166
  0.55909659  0.55007218  0.53607906  0.53602761  0.53560214  0.54182119
  0.56524976  0.56844583  0.55945706  0.5306731   0.49946968  0.54199957
  0.48914673  0.46134656  0.44427935  0.45298085  0.45266694  0.49629356
  0.4435542   0.44824968  0.43807939  0.46365296  0.41978158  0.48395406
  0.48032603  0.45347359  0.46971659  0.46640352  0.46015624  0.44351262
  0.39170615  0.43686737  0.43714738  0.43558168  0.4193657   0.43598369
  0.39171298  0.39045549  0.41157913  0.39034482  0.41862532  0.3802628
  0.36042566  0.38796143  0.38717613  0.30616833  0.33684173  0.18859855
  0.36885003  0.3348389   0.27781508  0.26353969  0.28845772  0.19386965
  0.19351151  0.11446366  0.23137854  0.26393505  0.26241523  0.23320128
  0.23107694  0.26203179  0.18951488  0.11454859  0.23118816  0.18671469
  0.280057    0.22898962 -1.          0.18951488 -1.          0.18930404
  0.19241589  0.23036712 -1.          0.11958877 -1.         -1.
 -1.          0.19154914  0.1189931   0.18515708  0.10550705 -1.
  0.11887682 -1.         -1.          0.18817152  0.19125862 -1.
 -1.         -1.          0.18817152 -1.          0.11874409  0.11252076
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.11252076 -1.         -1.         -1.
 -1.         -1.         -1.         -1.          0.11258998 -1.
  0.18391104 -1.          0.11255538 -1.          0.11866018 -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.11872545 -1.         -1.         -1.         -1.
 -1.         -1.         -1.          0.11874409 -1.         -1.
 -1.         -1.         -1.          0.11250345 -1.          0.11255538
 -1.         -1.         -1.          0.11253807 -1.         -1.
 -1.         -1.          0.11255538 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.11866018 -1.         -1.         -1.
  0.11248366 -1.          0.11244902 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.        ]",1
5,He,4,"[ 0.82168362 -1.          0.9916493   0.87481682  0.87193418  0.85018442
  1.          0.8598444   0.76653686  0.86952007 -1.         -1.
 -1.         -1.         -1.          0.77412314  0.77140071  0.79212267
  0.84864753  0.82229712  0.75727782 -1.          0.90799842 -1.
  0.86614616  0.76120506  0.79192848  0.86004577 -1.          0.7590177
  0.9175527   0.78535538  0.78861499  0.79249269  0.75055141  0.86387
  0.75242879  0.73312685 -1.          0.74395841 -1.          0.74053039
 -1.         -1.         -1.          0.77110641  0.77652266  0.78640404
  0.71765366  0.76854492  0.76227602  0.79798636  0.74387305  0.85726415
 -1.         -1.          0.7574338   0.75422592  0.85892358 -1.
 -1.         -1.         -1.          0.76321085  0.78711731 -1.
  0.8434527   0.87492814  0.87056543  0.8625017   0.77504605 -1.
  0.79199029  0.75615893  0.84310235  0.72514229 -1.          0.75487305
  0.78679768 -1.         -1.         -1.          0.75886337 -1.
 -1.         -1.          0.87909289 -1.         -1.          0.89103968
 -1.          0.85103013  0.76608575 -1.          0.86948335 -1.        ]",0
239,He,3,"[ 0.88936332  0.89831037  0.91000422  0.91391383  0.9334338   0.92473465
  0.90166714  0.95531661  0.99188203  1.          0.97135813  0.93227288
  0.85819178  0.96229698  0.88018147  0.9288276   0.87796451  0.88901856
  0.92583672  0.91425723  0.87102443  0.85832759  0.87020939  0.89634485
  0.84193808  0.7776657   0.78175966  0.79302508  0.76290854  0.7668524
  0.74299299  0.81697622  0.69166483  0.69636962  0.7643226   0.63236644
  0.64446063  0.60144453  0.57402794  0.60127641  0.54941956  0.49579607
  0.49948538  0.53607404  0.5513715   0.61513311  0.57920753  0.61403119
  0.60895733  0.6370231   0.5660066   0.58305205  0.54787936  0.51482702
  0.46680701  0.50809627  0.47301971  0.51299824  0.46992149  0.49146432
  0.45588805  0.45936028  0.47164479  0.38843661  0.46233374  0.42276349
  0.48110406  0.46662035  0.43794428  0.44086253  0.41118589  0.44559644
  0.43978039  0.39611407  0.33817577  0.36949868  0.35966697  0.33998348
  0.36279299  0.33578356  0.246764    0.31218035  0.34413782  0.19139518
  0.3462048   0.27672456  0.28782715  0.19976145  0.2718231   0.29085485
  0.27685986  0.27009406  0.23222974  0.28686206  0.29089194  0.29063195
  0.23659665  0.27512891  0.28496584  0.22013831  0.24721733  0.25765221
 -1.          0.22491758  0.30144224  0.28511552  0.24912012  0.19130385
  0.13255328  0.18283494  0.18946371  0.18457313  0.26580664  0.25788584
  0.12369172  0.26374781  0.19484882  0.13248179  0.23724105  0.13003385]",1
117,O,1,"[-1.         -1.         -1.         -1.         -1.         -1.
 -1.          0.99985151 -1.         -1.         -1.         -1.
 -1.         -1.          0.99985151 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.          0.9998931  -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          1.          0.98909549 -1.         -1.
 -1.         -1.         -1.         -1.          0.98905135 -1.
  0.9889157 ]",0
151,N,3,"[ 0.94385194  0.95124178  0.95516322  0.98060033  1.          0.98095784
  0.93285751  0.95567267  0.97620848  0.965874    0.99383199  0.97455059
  0.99586912  0.95687066  0.95866932  0.96445449  0.94550111  0.94863226
  0.95271715  0.93067579  0.93659682  0.94300734  0.92330965  0.90537473
  0.89783598  0.90577883  0.8754442   0.87537157  0.82545301  0.85482867
  0.81848177  0.81791114  0.81403194  0.80780256  0.80532279  0.75533471
  0.78534042  0.75801409  0.75013483  0.7607263   0.74072552  0.75952626
  0.75752242  0.70992849  0.67668382  0.67064962  0.66195582  0.69058581
  0.65718554  0.64523746  0.64744811  0.63514473  0.63118467  0.70038645
  0.68756751  0.67967023  0.63439521  0.67961391  0.68763749  0.68614806
  0.64325782  0.63718329  0.64740312  0.63304588  0.62559127  0.63640317
  0.63196152  0.56784379  0.63379311  0.60503699  0.60664959  0.59999493
  0.62975514  0.52030556  0.55616226  0.59639619  0.56892289  0.52685741
  0.55928842  0.53666565  0.56550934  0.52365538  0.53313588  0.57008118
  0.52865548  0.33792612  0.3887369   0.41755588  0.38629482  0.25540468
  0.38322064  0.44004539  0.33264528  0.26096059  0.32805429  0.33563969
  0.3823402   0.25405031  0.2606293   0.2538282   0.33532863  0.25379196
  0.26040738  0.26029704  0.25370956  0.33491255  0.25340416  0.25996223
 -1.          0.3346959   0.33014761 -1.          0.25973899  0.25313108
 -1.          0.25962799  0.38122988  0.33443053 -1.          0.25297686
 -1.          0.25296525 -1.          0.2528108  -1.         -1.
 -1.         -1.          0.25940409 -1.         -1.         -1.
  0.25266946 -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.25283573 -1.          0.25929276 -1.
  0.2528108   0.33404343 -1.         -1.         -1.          0.25259789
 -1.         -1.         -1.         -1.         -1.         -1.        ]",1
