Event ID,Element,Energy Level,Flux Time Series,Target Label
299,O,4,"[ 0.51513788  0.57177009  0.53839281  0.40105033  0.40150679  0.40529132
  0.60701712  0.67551385  0.69951416  0.79326593  0.81207432  0.83597236
  0.87926739  0.85082907  0.86676625  0.90355951  0.89505605  0.91240546
  0.89723616  0.91975722  0.91241699  0.93609764  0.95052389  0.99781528
  0.98384096  1.          0.98207074  0.95194942  0.96713977  0.94741954
  0.93446005  0.93920334  0.93529401  0.92519172  0.89868994  0.87761918
  0.86410862  0.81932487  0.83537142  0.8323132   0.83270514  0.81650964
  0.80392783  0.76958043  0.77675172  0.73881311  0.72597526  0.76406227
  0.77188318  0.71596564  0.70013349  0.77920403  0.79936461  0.7775173
  0.72228788  0.74737176  0.72903741  0.71455379  0.67753806  0.63793573
  0.63974798  0.66898418  0.67776968  0.6143533   0.64427586  0.57589493
  0.55751274  0.61379245  0.40788835  0.63359555  0.55628879  0.60186757
  0.61472151  0.58752098  0.39722876  0.5547604   0.58705861  0.44981205
  0.48610372  0.58696207  0.48600164  0.48400137  0.51385811  0.55487736
  0.53398229  0.40295481  0.45039746  0.45043639  0.38719424  0.30968782
  0.30955689  0.53426385  0.40221783  0.3984832   0.39830371  0.44715281
  0.44935154  0.44936135  0.48353342  0.44678252  0.44734253  0.48664916
  0.51170905 -1.          0.50552079  0.44702284  0.31624838  0.50907495
  0.44935154  0.31608378  0.4013302   0.48494671  0.31558865  0.44624009
  0.44669228  0.30807037  0.30789139  0.30789139  0.3079161   0.31490203
  0.30632515  0.47885413 -1.          0.39664939  0.30747381  0.39685383
 -1.          0.31486118  0.30756054 -1.          0.44525971  0.30702993
  0.3926076  -1.          0.30689615  0.39252985  0.30571693  0.31440213
 -1.          0.31414995  0.39963254  0.4472527   0.31394137 -1.
 -1.          0.30658445 -1.          0.39579794 -1.         -1.
  0.31372949 -1.         -1.          0.30629387 -1.         -1.
  0.31360277  0.31347593  0.39554773 -1.         -1.         -1.
  0.30620625  0.3061812  -1.          0.39541863 -1.         -1.
 -1.          0.31356149 -1.         -1.         -1.         -1.
 -1.         -1.         -1.          0.30598065  0.31345526  0.31313901
 -1.         -1.         -1.          0.30613736  0.38681521 -1.
 -1.         -1.          0.31318043 -1.         -1.         -1.
 -1.          0.39519049 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.30575778
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]",1
303,He,4,"[ 0.40104581  0.47527936  0.53290999  0.58504992  0.6203548   0.62687422
  0.6558563   0.7665048   0.85065277  0.88571564  0.91942739  0.92566678
  0.80973481  0.77720919  0.78707231  0.8073734   0.8225056   0.86173601
  0.88194792  0.8493811   0.86671178  0.86834949  0.87489569  0.87874924
  0.90338039  0.90376642  0.89041003  0.90868404  0.98280085  0.96962037
  0.98551626  1.          0.9963764   0.94679331  0.88367166  0.86321197
  0.82762551  0.77346989  0.7816932   0.79463221  0.76413423  0.7534132
  0.76808677  0.73236937  0.7336325   0.71450104  0.76375827  0.77403703
  0.73912984  0.64480486  0.64760108  0.6387694   0.637348    0.66430155
  0.59659008  0.57694558  0.55087451  0.57288785  0.53170679  0.53199665
  0.57652083  0.55239397  0.5474669   0.52906917  0.52331599  0.50607735
  0.52084412  0.55116114  0.52590281  0.5068901   0.52054298  0.48699283
  0.48832934  0.49905572  0.48329818  0.49026269  0.46275172  0.51194999
  0.48688849  0.45564979  0.46650219  0.47449837  0.48024755  0.4764725
  0.4553274   0.48930181  0.45900132  0.44810784  0.46898662  0.43669396
  0.45434402  0.43297088  0.47854392  0.43690613  0.4688411   0.43327894
  0.4411865   0.40380455  0.45200835  0.37093356  0.46380316  0.42906604
  0.44548367  0.4279667   0.43755707  0.43627848  0.46464874  0.43041949
  0.40700123  0.44389704  0.42886847  0.44788935  0.40844721  0.38262331
  0.42818976  0.3998053   0.40119228  0.39895962  0.38724269  0.37474552
  0.37327839  0.41174206  0.41880971  0.37538769  0.38147191  0.37371709
  0.37730283  0.36932241  0.37491941  0.3961656   0.35249259  0.39300443
  0.38537118  0.30768771  0.36829188  0.38215708  0.36743176  0.32295378
  0.38693562  0.37457125  0.36070734  0.39780031  0.39017364  0.3622688
  0.36782609  0.34272505  0.35352232  0.36860555  0.34960875  0.33849845
  0.37246012  0.32207936  0.33532514  0.32439843  0.36023796  0.32314953
  0.30264961  0.33690678  0.31446229  0.33026225  0.33672626  0.32074342
  0.31145388  0.33222964  0.35305973  0.32454268  0.31111416  0.30216769
  0.25023432  0.29562411  0.3252482   0.29730284  0.31818543  0.30523849
  0.32471065  0.3132834   0.29309631  0.3213517   0.30811577  0.30105867
  0.28798861  0.27309219  0.31410086  0.27980259  0.26848337  0.29521057
  0.25508782  0.27399937  0.28615524  0.24964551  0.24314369  0.29809179
  0.25305004  0.29357105  0.261452    0.25617674  0.26506056  0.24524839
  0.24686205  0.27731406  0.23935449  0.25638104  0.24323091  0.22008847
  0.22604644  0.25484177  0.2471822   0.25986423  0.24768029  0.23628715
  0.26619708  0.20795065  0.21980092  0.2382056   0.24513762  0.23360797
  0.20596801  0.24220794  0.2342742   0.21528325  0.21722709  0.22969137
  0.20753701  0.1912921   0.23430912  0.1912232   0.22878759  0.20465757
  0.20448761  0.22972443  0.19981701  0.22505534  0.2122671   0.16112798
  0.18176965  0.25617674  0.17056353  0.25713634  0.23459337  0.21424402
  0.1965636   0.19596899  0.23805667  0.2186582   0.21632074  0.22193407
  0.22200899  0.1963404   0.1345385   0.18950356  0.11327621  0.2006298
  0.15633403  0.17377727  0.17358645  0.13225468  0.16704331  0.19076127
  0.13325057  0.21487056  0.19380111  0.13532531  0.1736527   0.1568106
  0.10890826  0.14700342  0.17271229  0.18954197  0.09020922  0.15644982
  0.17093505  0.11879685  0.15621323  0.13631517  0.15017074  0.16578198
  0.13454482  0.1141205   0.15316823  0.13417715  0.11178067  0.12672057
  0.09462518  0.0448773   0.12032747 -0.00447118  0.13850647  0.11324657
  0.07552147  0.09442475  0.14907943  0.11240053  0.10753758  0.03486653
  0.06960156 -1.          0.02853406  0.02998202  0.02782514  0.1008809
  0.06916618  0.08419962  0.04674987  0.03180985 -0.0141364   0.1046914
 -0.02643304 -1.          0.10039276  0.08457173 -1.          0.0617015
  0.10183511  0.084955    0.0851722  -0.02820988 -0.01844095  0.10490628
 -1.          0.12001003  0.06145624 -1.          0.02494273 -0.03175124
 -0.03199992  0.05941872  0.02490829  0.03083711 -1.          0.1042912
 -0.02586781 -0.03871236  0.0571636  -0.03182079 -0.02649815 -0.02247742
 -0.03867447 -1.          0.02804557  0.02796032 -0.02649815 -0.02814337
 -0.03537721 -0.03545516 -0.02817662 -0.03189538 -0.03020679 -0.03545516
  0.10013063  0.08114212  0.02494273 -1.          0.02487383 -0.02820988
  0.02953711 -0.03867447 -1.          0.02031875  0.02495995 -1.
  0.02770638]",1
117,N,2,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
37,C,3,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1.]",0
30,He,2,"[ 0.71101587  0.71852847  0.72798016  0.76173787  0.75776773  0.77380361
  0.76778356  0.79229216  0.78998571  0.81336828  0.79525056  0.81081538
  0.84782821  0.9203566   1.          0.97127261  0.86850066  0.76724896
  0.81248687  0.77579824  0.74941133  0.62872381  0.5844455   0.58770097
  0.58070832  0.57912406  0.5579343   0.53480254  0.53894978  0.54341042
  0.53618963  0.56114148  0.55264145  0.5309409   0.54427211  0.5163318
  0.55025654  0.53093075  0.54633041  0.55614988  0.53135111  0.52460716
  0.53575542  0.53208029  0.51117336  0.49937917  0.49791206  0.5014728
  0.49602049  0.52402867  0.52901425  0.51778995  0.48948764  0.5086262
  0.50833817  0.51224188  0.4902805   0.48699769  0.48229754  0.48368642
  0.46804997  0.47299757  0.47308884  0.45451556  0.47513797  0.46932715
  0.46687779  0.45231289  0.45496145  0.43837994  0.43739249  0.43353765
  0.45519446  0.42194661  0.43898847  0.4112224   0.42027944  0.40658921
  0.42786952  0.41079876  0.40252618  0.40842376  0.39419778  0.38802895
  0.38330503  0.40877061  0.39232436  0.39502758  0.39235243  0.36341563
  0.35579198  0.36483902  0.3742852   0.35640221  0.38148014  0.36523611
  0.36086084  0.35468723  0.3304235   0.35916675  0.36611767  0.35632782
  0.3356394   0.33834008  0.30414594  0.32389421  0.34017199  0.2868047
  0.30634268  0.30333518  0.28627552  0.32785216  0.30891399  0.30070456
  0.29107005  0.30509623  0.29715599  0.25888512  0.25283057  0.26214007
  0.25277718  0.25280231  0.25508129  0.20588088  0.18590863  0.2034727
  0.29063409  0.16691146  0.18780381  0.15873798  0.22738717  0.21508147
  0.2234494   0.19230519  0.13272542  0.14017179  0.22130105  0.16482327
  0.18805551  0.1624073   0.17066531  0.18197614  0.18286294  0.18484435
  0.19576438  0.09561708  0.19543045  0.15850209  0.17298501  0.21244064
  0.13018533  0.14534089  0.18758644  0.18883708  0.15863267  0.15641472
  0.1938309   0.08651362  0.14848363  0.08940218  0.15901814  0.16919866
  0.1468985   0.11705775  0.13866437  0.13313197  0.08261705  0.09371465
  0.11252129  0.0473499   0.13451541  0.14762025  0.0037395   0.0489347
  0.1139333   0.13956456  0.15999115  0.05270133  0.10308472  0.05109656
  0.12780565  0.05614978  0.15694419  0.09149696  0.12822297 -1.
  0.11138592 -1.          0.08448986  0.11688407  0.15323829  0.08812961]",1
38,Si,1,"[ 0.99463874 -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.88038686 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.88061301
 -1.          0.88046578  0.88061301  1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.8697423
 -1.         -1.          0.86986509 -1.          0.87002124  0.86994318
 -1.         -1.         -1.         -1.          0.86986509 -1.        ]",0
193,Fe,3,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1.]",0
56,N,4,"[-1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.]",0
217,He,2,"[-0.45682989 -0.41163517 -0.35349719 -0.44024465 -0.12271294 -0.12996873
  0.12705309  0.43094043  0.2701768   0.45765571  0.69669355  0.84765563
  0.90208504  1.          0.89398683  0.83786261  0.80161438  0.84744705
  0.82805562  0.80741751  0.75586466  0.74255564  0.70672285  0.67791872
  0.76063653  0.67244339  0.64590201  0.66078243  0.56792028  0.6030685
  0.53649251  0.57073927  0.55666989  0.52472075  0.46915231  0.40016703
  0.37196129  0.32960684  0.24782819  0.2468248   0.29761503  0.28133076
  0.26815901  0.16948664  0.20535864  0.20996235  0.18250435  0.11721865
  0.08487877  0.07223183  0.20869419  0.26088398  0.34810471  0.28407969
  0.35091121  0.30848871  0.21874765  0.11954615  0.11132428  0.0837779
  0.01651389  0.05821783  0.08928703 -0.00782972 -0.06643185 -0.14933285
 -0.15737905 -0.25382108 -0.17015612 -0.20449453 -0.08484858  0.03195793
  0.05188958 -0.02990449 -0.05540342 -0.0506923  -0.10670591 -0.11439581
 -0.08371717 -0.1358818  -0.19841745 -0.25674068 -0.48841903 -0.62953358
 -0.5028715  -0.53296736 -0.49637858 -0.47162922 -0.52174773 -0.51475394
 -0.49845069 -0.45284236 -0.64307364 -0.47751993 -0.54053189 -0.4397231
 -0.4787777  -0.49667384 -0.54029337 -0.57992214 -0.57431407 -0.53066334
 -0.56582168 -0.52171378 -0.68926755 -0.56857405 -0.51720967 -0.53642733
 -0.67248116 -0.58377608 -0.42841902 -0.65214732 -0.56779797 -0.58235286
 -0.53025351 -0.60071111 -0.52921232 -0.63207176 -0.52229755 -0.45690888
 -0.54484134 -0.50883604 -0.68282277 -0.52724699 -0.65876255 -0.68727298
 -0.78435817 -0.73296546 -0.83568993 -0.62549506 -0.66909331 -0.73950964
 -0.72937099 -0.65248582 -0.86728835 -0.73458813 -1.         -0.73092901
 -0.66022006 -0.72785647 -0.84952401 -0.78389036 -0.79353105 -0.62489249]",1
303,N,4,"[-1.          0.45496167  0.54189947  0.45363422  0.63926144  0.59390729
  0.72890836  0.79216302  0.89063377  0.95987115  1.          0.9616842
  0.84951789  0.76295421  0.90365799  0.86810755  0.91791585  0.84464809
  0.9378287   0.97640094  0.92504201  0.91145401  0.92008877  0.89945636
  0.88885147  0.9469136   0.87116722  0.8558985   0.94128391  0.81872227
  0.83218792  0.94572315  0.82364829  0.76999306  0.7035487   0.78126805
  0.75353966 -1.          0.70924319 -1.          0.61465995  0.62958837
 -1.         -1.         -1.          0.60356239  0.50345518  0.60599032
  0.48694107 -1.          0.46870231  0.46816801  0.47066273  0.45336123
 -1.         -1.         -1.         -1.          0.54515453 -1.
 -1.          0.53979177 -1.         -1.         -1.          0.44910127
 -1.         -1.         -1.          0.43094796 -1.         -1.
 -1.         -1.         -1.          0.53364319 -1.         -1.
  0.44433241 -1.          0.43568595 -1.         -1.         -1.
 -1.          0.4258025  -1.         -1.          0.43467868  0.44268633
 -1.          0.44240065 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.          0.44099808  0.43313186  0.43313186 -1.
  0.44136492 -1.          0.43292541 -1.         -1.         -1.
 -1.         -1.          0.43255758 -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.          0.43212524 -1.
 -1.          0.43069433 -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
  0.43056879 -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.          0.42093173
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.         -1.         -1.         -1.         -1.         -1.
 -1.        ]",1
